Owner,Schedule,Location,Day of Week,Start,End,Total Hours,Total Requests,Requests
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:30:00,2016-09-26 18:00:00,2.50,7,"kak336 (1), bcs109 (2), mi159 (1), bah123 (1), aas281 (1), hah70 (3), tje42 (1)"
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 16:30:00,2016-09-26 20:00:00,3.50,6,"kak336 (1), mi159 (1), jmo185 (3), jb1339 (1), tje42 (3), dtc77 (1)"
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 16:45:00,2016-09-26 19:45:00,3.00,9,"dhl45 (2), ak1024 (1), kak336 (1), rep100 (5), mi159 (3), pm521 (2), bah123 (4), jmo185 (5), tje42 (1)"
ks781,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 18:00:00,2016-12-12 21:00:00,3.00,15,"ak1024 (1), kak336 (1), pt292 (1), mi159 (4), rbp64 (3), rnp56 (1), jmo185 (3), ny76 (1), jb1339 (1), cpr75 (1), nrs100 (1), kad326 (1), ks781 (1), tje42 (3), dtc77 (2)"
bdh60,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:00:00,2016-09-26 20:30:00,2.50,8,"bdh60 (3), ak1024 (1), kak336 (1), rep100 (3), pt292 (1), mi159 (1), bah123 (1), tje42 (1)"
sbc90,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00,3.50,24,"da377 (3), bdh60 (2), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), rbp64 (2), jmo185 (5), evp14 (2), aza12 (1), ag1200 (1), sks183 (3), ny76 (1), jb1339 (1), sbc90 (1), cpr75 (3), nrs100 (1), kad326 (1), ks781 (1), tje42 (3), ns812 (3), yl843 (4), dtc77 (3)"
nrs100,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00,3.50,20,"bdh60 (2), ak1024 (1), kak336 (1), lcn16 (1), ib142 (2), mi159 (1), bah123 (5), jmo185 (4), evp14 (2), ag1200 (1), ny76 (1), sa1110 (2), jb1339 (1), cpr75 (1), nrs100 (1), kad326 (1), adb185 (4), tje42 (3), ns812 (1), yl843 (4)"
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00,3.75,24,"da377 (3), bdh60 (1), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), rbp64 (2), jmo185 (5), evp14 (2), aza12 (1), ag1200 (1), sks183 (3), jvw31 (5), ny76 (3), jb1339 (1), cpr75 (3), nrs100 (1), kad326 (2), sn453 (1), tje42 (3), ns812 (3), yl843 (4), dtc77 (3)"
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00,3.75,22,"dhl45 (2), bdh60 (1), ak1024 (1), kak336 (1), lcn16 (1), ib142 (2), mi159 (1), jmo185 (4), evp14 (2), ag1200 (1), ny76 (1), sa1110 (2), jb1339 (1), sbc90 (2), cpr75 (1), nrs100 (1), kad326 (2), sn453 (1), adb185 (4), tje42 (3), ns812 (1), yl843 (4)"
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 20:30:00,2016-09-26 23:00:00,2.50,18,"dmd349 (1), bdh60 (3), hpp33 (1), ak1024 (3), sm1574 (1), mi159 (3), ag1200 (1), sa1110 (4), dja145 (2), jb1339 (1), sbc90 (2), cpr75 (1), nrs100 (3), kad326 (5), ec681 (2), mwa27 (3), tje42 (3), ns812 (2)"
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 21:00:00,2016-12-13 00:00:00,3.00,16,"dhl45 (1), bnd21 (2), kak336 (4), ib142 (1), sm1574 (1), mi159 (4), dc816 (2), rnp56 (1), ny76 (2), dja145 (4), jb1339 (2), cpr75 (1), sn453 (3), tje42 (3), yl843 (4), dtc77 (2)"
sn453,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00,4.25,14,"sm1574 (1), mi159 (3), am1505 (5), aza12 (1), sks183 (5), ny76 (3), jb1339 (3), cpr75 (3), dfr49 (5), mwa27 (5), sn453 (2), tje42 (3), ns812 (3), yl843 (1)"
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00,4.25,10,"sm1574 (1), mi159 (2), ny76 (2), jb1339 (4), sbc90 (3), cpr75 (3), aac177 (1), sn453 (2), ns812 (2), yl843 (4)"
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00,3.75,5,"sm1574 (1), mi159 (3), sbc90 (3), cpr75 (5), aac177 (1)"
sm1574,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00,3.75,8,"sm1574 (1), mi159 (3), am1505 (5), aza12 (1), cpr75 (3), dfr49 (5), sn453 (3), tje42 (3)"
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 23:00:00,2016-09-27 02:00:00,3.00,6,"sm1574 (1), mi159 (5), sbc90 (4), cpr75 (5), rc864 (4), aac177 (1)"
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00,3.50,9,"sm1574 (3), jmo185 (2), aza12 (1), aee51 (2), nrs100 (1), dfr49 (5), ogb4 (1), sn453 (5), yl843 (3)"
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00,3.75,11,"rep100 (5), ib142 (2), sm1574 (3), jmo185 (2), aee51 (1), ebb43 (1), nrs100 (1), rc864 (4), rp660 (5), knp69 (1), yl843 (4)"
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00,3.75,8,"sm1574 (3), jmo185 (2), aza12 (1), aee51 (2), nrs100 (2), dfr49 (5), ogb4 (4), yl843 (3)"
ib142,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00,3.50,12,"rep100 (5), ib142 (2), sm1574 (3), jmo185 (2), aee51 (1), ebb43 (1), nrs100 (1), rc864 (4), ogb4 (2), rp660 (5), knp69 (1), yl843 (4)"
nrs100,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:45:00,2.50,4,"kak336 (1), jmo185 (1), nrs100 (3), yl843 (5)"
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:00:00,1.75,13,"et247 (2), kak336 (1), rep100 (5), sm1574 (2), am1505 (5), jmo185 (3), aee51 (3), cpr75 (5), nrs100 (2), rc864 (4), mwa27 (1), ns812 (2), yl843 (4)"
aee51,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 10:00:00,2016-12-13 14:00:00,4.00,6,"ib142 (1), pkp63 (4), jmo185 (1), aee51 (4), sn453 (3), yl843 (3)"
pkp63,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 12:30:00,2.50,2,"pkp63 (1), jmo185 (3)"
mma206,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 13:15:00,3.25,3,"pkp63 (5), jmo185 (1), mma206 (3)"
yl843,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:45:00,2016-09-27 13:15:00,2.50,4,"jmo185 (1), mma206 (5), sn453 (2), yl843 (3)"
yk390,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00,3.50,10,"ch601 (1), cws66 (1), pkp63 (2), sm1574 (1), jy415 (4), jmo185 (1), aee51 (1), yk390 (1), ks781 (2), sn453 (1)"
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00,3.50,8,"cws66 (2), sm1574 (1), jmo185 (1), aee51 (1), ety6 (1), ks781 (4), dfr49 (5), sn453 (1)"
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00,3.50,12,"ij38 (1), arh94 (1), pkp63 (2), sm1574 (1), pm521 (1), am1505 (1), jmo185 (1), aee51 (1), ncc56 (1), yk390 (1), ec681 (2), sn453 (1)"
arh94,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00,3.50,10,"ij38 (2), arh94 (2), sm1574 (1), am1505 (1), jmo185 (3), aee51 (1), ncc56 (1), ety6 (1), dfr49 (5), sn453 (1)"
ncc56,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 12:30:00,2016-09-27 15:30:00,3.00,1,ncc56 (1)
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 15:45:00,2.50,0,
ls949,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 16:45:00,3.50,2,"ncc56 (1), ls949 (1)"
dc816,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 14:00:00,2016-12-13 18:00:00,4.00,7,"aom18 (3), dc816 (1), tmc202 (2), aee51 (4), hah70 (3), ncc56 (1), jb1339 (1)"
tmc202,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00,3.25,9,"da377 (2), jy415 (2), nd292 (1), tmc202 (1), aee51 (3), sks183 (1), ncc56 (1), jb1339 (1), tje42 (3)"
sa1110,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00,3.25,7,"jy415 (2), aee51 (2), ncc56 (1), sa1110 (1), jb1339 (1), ls949 (1), tje42 (3)"
nd292,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00,3.25,8,"da377 (2), nd292 (1), tmc202 (1), aee51 (3), sks183 (1), ncc56 (1), jb1339 (1), tje42 (3)"
ebb43,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00,3.25,10,"lcn16 (1), bah123 (1), aee51 (2), ncc56 (1), sa1110 (3), jb1339 (1), ebb43 (1), ogb4 (2), ls949 (1), tje42 (3)"
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:30:00,2016-09-27 18:00:00,2.50,5,"rep100 (2), bah123 (1), ncc56 (1), ls949 (1), tje42 (1)"
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:45:00,2016-09-27 20:00:00,4.25,0,
bcs109,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 16:45:00,2016-09-27 19:45:00,3.00,9,"rep100 (1), cws66 (4), bcs109 (1), bah123 (4), jmo185 (3), psc66 (5), ncc56 (1), ls949 (1), tje42 (1)"
pt292,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:00:00,2016-09-27 20:30:00,2.50,8,"ak1024 (1), rep100 (5), pt292 (1), bah123 (1), jmo185 (3), ncc56 (1), ls949 (1), tje42 (1)"
ajh223,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 18:00:00,2016-12-13 21:00:00,3.00,16,"ak1024 (1), pt292 (1), bcs109 (4), sm1574 (1), rnp56 (1), jmo185 (3), mma206 (4), tmc202 (4), alg163 (2), ncc56 (1), ny76 (1), jb1339 (1), cpr75 (1), ajh223 (2), tje42 (3), dtc77 (2)"
cws66,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00,3.50,21,"ak1024 (1), lcn16 (5), cws66 (4), ib142 (2), bcs109 (5), sm1574 (1), bah123 (5), jy415 (1), jmo185 (4), evp14 (1), mma206 (3), da392 (3), ncc56 (1), jvw31 (2), jb1339 (1), cpr75 (1), ajh223 (2), mwa27 (4), ls949 (1), tje42 (3), cjp175 (1)"
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00,3.50,23,"da377 (3), bnd21 (2), ak1024 (1), cws66 (5), bcs109 (5), sm1574 (1), bah123 (1), nd292 (3), jmo185 (5), evp14 (1), mma206 (3), tmc202 (3), alg163 (3), sks183 (1), jvw31 (1), ny76 (1), sir25 (1), jb1339 (2), cpr75 (3), ajh223 (4), mwa27 (4), cjp175 (3), dtc77 (3)"
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00,3.75,27,"ak1024 (1), lcn16 (3), cws66 (4), ib142 (2), bcs109 (5), sm1574 (1), bah123 (1), jy415 (2), jmo185 (4), evp14 (2), mma206 (4), da392 (3), ncc56 (2), jvw31 (2), yk390 (5), jb1339 (1), cpr75 (1), kad326 (1), mwa27 (4), ls949 (1), sn453 (1), cjk171 (2), jc2004 (1), tje42 (3), rp660 (1), yl843 (4), cjp175 (1)"
bnd21,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00,3.75,25,"da377 (3), bnd21 (1), ak1024 (1), cws66 (5), bcs109 (5), sm1574 (1), bah123 (1), nd292 (3), kt306 (4), jmo185 (5), evp14 (2), mma206 (4), tmc202 (3), alg163 (3), aas281 (1), sks183 (2), ncc56 (2), jvw31 (4), jb1339 (2), cpr75 (3), mwa27 (4), sn453 (1), cjk171 (2), cjp175 (3), dtc77 (3)"
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 20:30:00,2016-09-27 23:00:00,2.50,18,"dmd349 (2), dhl45 (2), hpp33 (1), ak1024 (3), sm1574 (1), alg163 (2), jvw31 (3), ny76 (2), jb1339 (1), cpr75 (1), nrs100 (4), kad326 (5), rc864 (3), sg1177 (1), ec681 (1), tje42 (3), cso29 (4), yl843 (4)"
sm1574,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 21:00:00,2016-12-14 00:00:00,3.00,14,"dhl45 (1), bnd21 (4), ib142 (1), sm1574 (1), dc816 (2), rnp56 (1), knt35 (1), ny76 (2), jb1339 (2), cpr75 (5), rc864 (5), sn453 (3), yl843 (4), dtc77 (2)"
jb1339,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 21:45:00,2016-09-28 02:00:00,4.25,11,"sm1574 (1), mi159 (4), aza12 (1), sks183 (5), ny76 (1), jb1339 (3), dfr49 (5), mwa27 (5), sn453 (2), ns812 (5), yl843 (1)"
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 21:45:00,2016-09-28 02:00:00,4.25,10,"sm1574 (1), mi159 (4), am1505 (1), ny76 (3), jb1339 (4), rc864 (3), sn453 (2), tje42 (3), ns812 (3), yl843 (4)"
mi159,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 22:15:00,2016-09-28 02:00:00,3.75,5,"sm1574 (1), mi159 (3), am1505 (1), rc864 (3), cso29 (4)"
sks183,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 22:15:00,2016-09-28 02:00:00,3.75,9,"kak336 (1), sm1574 (1), bah123 (1), jy415 (1), am1505 (1), aza12 (1), aas281 (1), sks183 (1), dfr49 (5)"
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 23:00:00,2016-09-28 02:00:00,3.00,5,"sm1574 (1), mi159 (5), am1505 (1), rc864 (3), cso29 (3)"
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:45:00,3.75,10,"ij38 (2), kak336 (1), mi159 (3), pm521 (2), jmo185 (3), aas281 (1), dfr49 (5), mwa27 (1), rp660 (5), yl843 (3)"
ogb4,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:45:00,3.75,12,"ij38 (1), kak336 (1), mi159 (3), jmo185 (3), aas281 (1), knt35 (3), sbc90 (4), rc864 (2), ogb4 (1), mwa27 (1), knp69 (1), yl843 (4)"
mwa27,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:30:00,3.50,12,"ij38 (2), kak336 (1), mi159 (3), jmo185 (1), aas281 (2), sks183 (5), ny76 (1), dfr49 (5), mwa27 (1), sn453 (5), rp660 (5), yl843 (3)"
yl843,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:30:00,3.50,12,"ij38 (2), kak336 (1), mi159 (3), jmo185 (2), aas281 (2), knt35 (3), ny76 (1), sbc90 (4), rc864 (2), mwa27 (1), knp69 (1), yl843 (4)"
aas281,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:15:00,2016-09-28 10:45:00,2.50,4,"kak336 (1), jmo185 (1), aas281 (2), yl843 (5)"
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:15:00,2016-09-28 10:00:00,1.75,11,"ij38 (1), sm1574 (2), am1505 (5), jmo185 (3), aza12 (1), sbc90 (3), rc864 (3), mwa27 (1), tje42 (1), ns812 (3), yl843 (4)"
ny76,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 10:00:00,2016-12-14 14:00:00,4.00,8,"kak336 (1), pkp63 (4), mi159 (1), alg163 (3), aas281 (1), ny76 (2), sn453 (3), yl843 (3)"
alg163,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:00:00,2016-09-28 13:15:00,3.25,4,"kak336 (1), pkp63 (5), bah123 (3), alg163 (3)"
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:00:00,2016-09-28 12:30:00,2.50,8,"kak336 (1), pkp63 (1), bah123 (1), alg163 (1), aas281 (1), ncc56 (2), knt35 (3), tje42 (1)"
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:45:00,2016-09-28 13:15:00,2.50,4,"kak336 (1), aas281 (2), sn453 (2), yl843 (2)"
yl843,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:30:00,2016-09-28 15:00:00,3.50,14,"ij38 (1), kak336 (1), ch601 (3), mi159 (1), bah123 (1), jy415 (5), alg163 (2), aas281 (2), ny76 (1), rc864 (1), ks781 (2), sn453 (1), knp69 (1), yl843 (2)"
jy415,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:30:00,2016-09-28 15:00:00,3.50,12,"ij38 (1), kak336 (1), mi159 (1), jy415 (5), aza12 (1), alg163 (3), aas281 (2), ny76 (1), ks781 (2), dfr49 (5), sn453 (1), yl843 (5)"
ks781,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:45:00,2016-09-28 15:15:00,3.50,10,"ij38 (1), kak336 (1), mi159 (1), pm521 (2), aza12 (1), alg163 (3), aas281 (1), ks781 (2), dfr49 (5), sn453 (1)"
jc2004,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:45:00,2016-09-28 15:15:00,3.50,15,"ij38 (1), kak336 (1), ch601 (3), mi159 (1), pm521 (1), bah123 (1), alg163 (2), aas281 (1), rc864 (1), ks781 (2), ogb4 (1), sn453 (1), jc2004 (2), knp69 (1), yl843 (3)"
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 12:30:00,2016-09-28 15:30:00,3.00,5,"kak336 (1), mi159 (1), bah123 (1), alg163 (1), aas281 (1)"
aas281,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 13:15:00,2016-09-28 16:30:00,3.25,3,"kak336 (1), mi159 (5), aas281 (2)"
pm521,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 13:15:00,2016-09-28 16:45:00,3.50,5,"kak336 (1), mi159 (3), pm521 (2), bah123 (3), aza12 (5)"
cds167,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 14:00:00,2016-12-14 18:00:00,4.00,9,"kak336 (1), cws66 (2), aom18 (3), mi159 (1), cds167 (1), aas281 (1), aee51 (4), ny76 (2), ks781 (1)"
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:00:00,2016-09-28 18:15:00,3.25,12,"kak336 (1), cws66 (1), mi159 (1), bah123 (1), jy415 (4), cds167 (1), aas281 (2), aee51 (3), jvw31 (1), rc864 (1), ks781 (1), knp69 (1)"
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:00:00,2016-09-28 18:15:00,3.25,13,"kak336 (1), cws66 (2), mi159 (1), jy415 (4), aza12 (1), cds167 (1), aas281 (2), aee51 (3), jvw31 (1), ny76 (3), ks781 (1), dfr49 (5), tje42 (3)"
lhw33,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:15:00,2016-09-28 18:30:00,3.25,16,"ij38 (1), kak336 (1), cws66 (1), mi159 (1), pm521 (1), bah123 (1), am1505 (1), cds167 (1), aas281 (1), aee51 (3), hah70 (3), jvw31 (1), rc864 (1), lhw33 (1), ks781 (1), knp69 (1)"
ks781,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:15:00,2016-09-28 18:30:00,3.25,15,"kak336 (1), cws66 (2), mi159 (1), pm521 (2), am1505 (1), aza12 (1), cds167 (1), aas281 (1), aee51 (3), hah70 (2), jvw31 (2), lhw33 (4), ks781 (1), dfr49 (5), tje42 (3)"
hah70,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:30:00,2016-09-28 18:00:00,2.50,6,"kak336 (1), mi159 (1), bah123 (1), aas281 (1), hah70 (2), ss2468 (1)"
jb1339,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 16:30:00,2016-09-28 20:00:00,3.50,4,"kak336 (1), mi159 (1), jb1339 (1), tje42 (3)"
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 16:45:00,2016-09-28 19:45:00,3.00,9,"dhl45 (2), ak1024 (1), kak336 (1), rep100 (5), mi159 (3), pm521 (2), bah123 (3), aza12 (5), tje42 (1)"
kad326,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:00:00,2016-12-14 21:00:00,3.00,10,"ak1024 (1), kak336 (1), pt292 (1), mi159 (3), am1505 (1), jb1339 (1), nrs100 (1), kad326 (1), ks781 (3), tje42 (3)"
pt292,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:00:00,2016-09-28 20:30:00,2.50,9,"bdh60 (3), ak1024 (1), kak336 (1), rep100 (5), pt292 (1), mi159 (1), bah123 (1), psc66 (3), tje42 (1)"
