Owner,Schedule,Location,Day of Week,Start,End,Total Hours,Total Requests,Requests
sks183,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:15:00,2016-12-14 21:45:00,3.50,20,"da377 (3), bdh60 (2), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), am1505 (1), evp14 (1), aza12 (1), tmc202 (5), cds167 (2), sks183 (1), ny76 (3), jb1339 (1), nrs100 (1), kad326 (1), ks781 (4), dfr49 (2), tje42 (3)"
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:15:00,2016-09-28 21:45:00,3.50,19,"bdh60 (2), ak1024 (1), kak336 (1), lcn16 (2), mi159 (1), bah123 (1), am1505 (1), evp14 (1), da392 (3), cds167 (2), psc66 (3), ny76 (3), sa1110 (3), dja145 (5), jb1339 (1), nrs100 (1), kad326 (1), lhw33 (3), ks781 (4)"
bdh60,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:30:00,2016-12-14 22:15:00,3.75,20,"da377 (3), bdh60 (2), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), am1505 (1), evp14 (2), aza12 (1), tmc202 (5), cds167 (2), sks183 (2), jb1339 (1), nrs100 (1), kad326 (2), ks781 (2), dfr49 (1), sn453 (1), tje42 (3)"
dhl45,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:30:00,2016-09-28 22:15:00,3.75,19,"dhl45 (2), bdh60 (2), ak1024 (1), kak336 (1), lcn16 (2), mi159 (1), bah123 (1), am1505 (1), evp14 (2), cds167 (2), sa1110 (3), dja145 (5), jb1339 (1), nrs100 (1), kad326 (2), aac177 (1), lhw33 (3), ks781 (2), sn453 (1)"
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 20:30:00,2016-09-28 23:00:00,2.50,21,"dmd349 (1), bdh60 (3), bnd21 (1), ak1024 (1), kak336 (1), lcn16 (1), sm1574 (1), mi159 (1), evp14 (1), ag1200 (1), ncc56 (1), sa1110 (4), dja145 (2), jb1339 (1), sbc90 (1), cpr75 (1), nrs100 (4), aac177 (1), mwa27 (4), sn453 (1), cso29 (2)"
jb1339,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 21:00:00,2016-12-15 00:00:00,3.00,13,"dhl45 (1), bnd21 (2), kak336 (4), mi159 (3), am1505 (1), knt35 (1), ny76 (2), dja145 (4), jb1339 (2), cpr75 (1), ks781 (5), sn453 (3), tje42 (3)"
sm1574,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 21:45:00,2016-09-29 02:00:00,4.25,12,"sm1574 (1), mi159 (3), am1505 (1), jvw31 (1), ny76 (3), jb1339 (4), cpr75 (3), aac177 (2), ks781 (5), ns812 (4), cso29 (4), yl843 (5)"
tje42,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 21:45:00,2016-12-15 02:00:00,4.25,13,"sm1574 (1), mi159 (3), am1505 (1), aza12 (1), js1691 (1), sks183 (5), jvw31 (1), ny76 (4), jb1339 (3), cpr75 (3), dfr49 (5), sn453 (3), tje42 (3)"
jvw31,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 22:15:00,2016-09-29 02:00:00,3.75,8,"sm1574 (1), mi159 (3), am1505 (1), aza12 (1), jvw31 (1), cpr75 (5), aac177 (2), cso29 (1)"
js1691,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 22:15:00,2016-12-15 02:00:00,3.75,9,"sm1574 (1), mi159 (3), am1505 (1), aza12 (1), js1691 (1), jvw31 (2), cpr75 (3), dfr49 (5), tje42 (3)"
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 23:00:00,2016-09-29 02:00:00,3.00,6,"sm1574 (1), mi159 (5), am1505 (1), cpr75 (5), aac177 (2), cso29 (1)"
ns812,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 08:00:00,2016-12-08 11:30:00,3.50,8,"mi159 (3), kt306 (3), jmo185 (2), aza12 (1), aas281 (2), aee51 (2), sn453 (5), ns812 (3)"
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:00:00,2016-09-29 11:30:00,3.50,13,"et247 (1), rep100 (5), mi159 (1), jmo185 (2), aas281 (2), aee51 (1), ebb43 (1), rc864 (4), ogb4 (1), adb185 (3), ns812 (4), rp660 (5), knp69 (1)"
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:00:00,2016-09-29 11:45:00,3.75,11,"et247 (1), rep100 (5), mi159 (1), jmo185 (2), aas281 (1), aee51 (1), ebb43 (1), rc864 (4), adb185 (3), rp660 (5), knp69 (1)"
kt306,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 08:00:00,2016-12-08 11:45:00,3.75,6,"mi159 (3), kt306 (3), jmo185 (2), aza12 (1), aas281 (1), aee51 (2)"
jmo185,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:15:00,2016-09-29 10:45:00,2.50,2,"jmo185 (1), aas281 (3)"
wowchoi,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:15:00,2016-09-29 10:00:00,1.75,13,"et247 (4), rep100 (5), sm1574 (2), pm521 (1), am1505 (5), jmo185 (3), wowchoi (1), cpr75 (5), rc864 (4), aac177 (1), mwa27 (1), ns812 (3), cso29 (5)"
ncc56,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 10:00:00,2016-12-08 14:00:00,4.00,6,"mi159 (1), jmo185 (1), alg163 (3), aee51 (4), ncc56 (4), sn453 (3)"
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 10:00:00,2016-09-29 12:30:00,2.50,5,"rep100 (3), pm521 (1), jmo185 (3), alg163 (1), ncc56 (4)"
mi159,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 10:00:00,2016-09-29 13:15:00,3.25,7,"rep100 (1), mi159 (3), bah123 (3), jmo185 (1), mma206 (3), aza12 (1), alg163 (3)"
jmo185,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 10:45:00,2016-09-29 13:15:00,2.50,3,"jmo185 (1), mma206 (5), sn453 (2)"
pkp63,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 11:30:00,2016-09-29 15:00:00,3.50,16,"ij38 (3), ch601 (1), rep100 (2), arh94 (1), pkp63 (1), mi159 (1), jmo185 (1), cds167 (1), psc66 (2), aee51 (1), ncc56 (4), knt35 (3), ks781 (1), sn453 (1), rp660 (1), knp69 (1)"
cds167,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 11:30:00,2016-12-08 15:00:00,3.50,12,"ij38 (2), arh94 (2), mi159 (1), jmo185 (1), aza12 (1), cds167 (2), psc66 (3), aee51 (2), ncc56 (4), jvw31 (5), ks781 (1), sn453 (1)"
aee51,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 11:45:00,2016-09-29 15:15:00,3.50,14,"lcn16 (1), rep100 (3), arh94 (3), pkp63 (1), jmo185 (1), cds167 (1), psc66 (2), aee51 (1), ncc56 (4), jvw31 (5), ec681 (3), sn453 (1), rp660 (1), knp69 (1)"
arh94,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 11:45:00,2016-12-08 15:15:00,3.50,10,"arh94 (2), mi159 (3), jmo185 (3), aza12 (1), cds167 (1), psc66 (3), aee51 (2), sks183 (5), ncc56 (4), sn453 (1)"
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 12:30:00,2016-09-29 15:30:00,3.00,3,"rep100 (2), psc66 (2), ncc56 (4)"
psc66,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 13:15:00,2016-09-29 16:45:00,3.50,3,"rep100 (1), aza12 (5), psc66 (2)"
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 13:15:00,2016-09-29 15:45:00,2.50,0,
dc816,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 14:00:00,2016-12-08 18:00:00,4.00,8,"dc816 (1), tmc202 (2), cds167 (1), psc66 (1), aee51 (4), hah70 (5), ncc56 (4), jb1339 (3)"
sa1110,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:00:00,2016-09-29 18:15:00,3.25,11,"bdh60 (4), lcn16 (1), rep100 (3), cds167 (1), psc66 (2), aee51 (2), ncc56 (4), sa1110 (1), jb1339 (3), lhw33 (1), tje42 (3)"
nd292,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 15:00:00,2016-12-08 18:15:00,3.25,13,"bdh60 (4), nd292 (1), aza12 (1), tmc202 (1), cds167 (1), psc66 (3), aee51 (3), sks183 (1), ncc56 (5), ny76 (1), jb1339 (3), lhw33 (2), tje42 (3)"
lhw33,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 15:15:00,2016-12-08 18:30:00,3.25,11,"nd292 (1), aza12 (1), tmc202 (1), cds167 (1), psc66 (3), aee51 (3), sks183 (1), ncc56 (5), ny76 (3), lhw33 (3), tje42 (3)"
ebb43,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:15:00,2016-09-29 18:30:00,3.25,11,"lcn16 (4), rep100 (4), bah123 (1), cds167 (1), psc66 (2), aee51 (2), ncc56 (4), sa1110 (2), ebb43 (1), lhw33 (1), tje42 (3)"
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:30:00,2016-09-29 18:00:00,2.50,6,"rep100 (2), bah123 (1), psc66 (2), aas281 (1), ncc56 (4), tje42 (1)"
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:45:00,2016-09-29 20:00:00,4.25,0,
cws66,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 16:45:00,2016-09-29 19:45:00,3.00,9,"dhl45 (2), rep100 (2), cws66 (4), bcs109 (1), bah123 (5), jmo185 (3), aza12 (5), psc66 (2), tje42 (1)"
ajh223,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:00:00,2016-12-08 21:00:00,3.00,13,"ak1024 (1), bcs109 (4), sm1574 (1), rnp56 (1), jmo185 (3), mma206 (4), tmc202 (4), psc66 (1), ncc56 (5), ny76 (1), ajh223 (2), tje42 (3), dtc77 (4)"
ls949,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:00:00,2016-09-29 20:30:00,2.50,9,"ak1024 (1), rep100 (5), pt292 (1), bah123 (1), jmo185 (3), psc66 (2), ncc56 (5), ls949 (1), tje42 (1)"
tmc202,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:15:00,2016-12-08 21:45:00,3.50,20,"bnd21 (2), ak1024 (1), cws66 (5), bcs109 (5), sm1574 (1), bah123 (1), nd292 (3), jmo185 (5), evp14 (1), mma206 (5), aza12 (1), tmc202 (3), psc66 (3), sks183 (1), ncc56 (5), ny76 (1), ajh223 (4), mwa27 (4), tje42 (3), dtc77 (4)"
psc66,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:15:00,2016-09-29 21:45:00,3.50,19,"ak1024 (1), cws66 (4), bcs109 (5), sm1574 (1), bah123 (5), jmo185 (4), evp14 (1), mma206 (5), da392 (3), psc66 (2), ncc56 (5), lhw33 (3), ajh223 (2), ogb4 (3), mwa27 (3), ls949 (1), tje42 (3), ns812 (3), cjp175 (1)"
cjk171,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:30:00,2016-12-08 22:15:00,3.75,20,"bnd21 (1), ak1024 (1), cws66 (5), bcs109 (5), sm1574 (1), bah123 (1), nd292 (3), jmo185 (5), evp14 (2), aza12 (1), tmc202 (3), sks183 (2), ncc56 (5), ny76 (3), dfr49 (1), mwa27 (4), sn453 (1), cjk171 (1), tje42 (3), dtc77 (4)"
dhl45,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:30:00,2016-09-29 22:15:00,3.75,20,"dhl45 (2), ak1024 (1), cws66 (4), bcs109 (5), sm1574 (1), bah123 (1), jmo185 (4), evp14 (2), ncc56 (5), yk390 (5), kad326 (1), lhw33 (3), ogb4 (3), mwa27 (3), ls949 (1), sn453 (1), adb185 (5), tje42 (3), ns812 (4), cjp175 (1)"
trc86,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 20:30:00,2016-09-29 23:00:00,2.50,13,"ak1024 (5), ag1200 (1), jvw31 (1), ny76 (2), cpr75 (3), nrs100 (2), kad326 (5), rc864 (2), ec681 (1), trc86 (1), mwa27 (4), ls949 (1), ry137 (3)"
cpr75,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 21:00:00,2016-12-09 00:00:00,3.00,12,"dhl45 (1), bnd21 (5), dc816 (2), rnp56 (1), knt35 (1), ny76 (2), cpr75 (1), rc864 (5), trc86 (4), sn453 (3), tje42 (3), cjp175 (5)"
ry137,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 21:45:00,2016-09-30 02:00:00,4.25,8,"mi159 (4), jvw31 (2), ny76 (3), cpr75 (3), rc864 (3), ry137 (3), cso29 (4), cjp175 (3)"
cjp175,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 21:45:00,2016-12-09 02:00:00,4.25,10,"mi159 (4), aza12 (1), sks183 (5), jvw31 (3), ny76 (3), cpr75 (3), dfr49 (5), sn453 (2), tje42 (3), cjp175 (5)"
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 22:15:00,2016-12-09 02:00:00,3.75,6,"mi159 (3), aza12 (1), jvw31 (3), cpr75 (3), dfr49 (5), tje42 (3)"
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 22:15:00,2016-09-30 02:00:00,3.75,5,"mi159 (3), jvw31 (2), cpr75 (5), rc864 (3), cso29 (2)"
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 23:00:00,2016-09-30 02:00:00,3.00,5,"mi159 (5), jvw31 (3), cpr75 (5), rc864 (3), cso29 (2)"
yl843,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 08:00:00,2016-12-09 11:45:00,3.75,7,"mi159 (3), jmo185 (2), aza12 (1), aas281 (1), nrs100 (2), dfr49 (5), yl843 (4)"
aas281,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:00:00,2016-09-30 11:30:00,3.50,12,"mi159 (1), jmo185 (2), aza12 (1), aas281 (2), sa1110 (4), dja145 (2), nrs100 (1), rc864 (2), ls949 (3), adb185 (5), knp69 (1), yl843 (4)"
bah123,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 08:00:00,2016-12-09 11:30:00,3.50,6,"bah123 (1), jmo185 (1), aza12 (1), nrs100 (1), dfr49 (5), yl843 (4)"
dja145,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:00:00,2016-09-30 11:45:00,3.75,12,"mi159 (1), jmo185 (2), aza12 (1), aas281 (1), sa1110 (4), dja145 (2), nrs100 (1), rc864 (2), ls949 (3), adb185 (5), knp69 (1), yl843 (4)"
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:15:00,2016-09-30 10:00:00,1.75,12,"kak336 (1), am1505 (5), jmo185 (3), aza12 (1), aee51 (3), sa1110 (4), dja145 (2), cpr75 (5), nrs100 (2), rc864 (3), aac177 (1), ls949 (3)"
nrs100,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:15:00,2016-09-30 10:45:00,2.50,5,"kak336 (1), jmo185 (1), aas281 (3), nrs100 (3), sn453 (5)"
ib142,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 10:00:00,2016-12-09 14:00:00,4.00,3,"ib142 (1), rc864 (5), sn453 (3)"
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 10:00:00,2016-09-30 12:30:00,2.50,6,"cws66 (1), pm521 (1), bah123 (1), jmo185 (3), aza12 (1), ls949 (5)"
aza12,BUS-ARC-Disp,NB: Labs: Busch Campus,Friday,2016-09-30 10:00:00,2016-09-30 13:15:00,3.25,5,"pm521 (2), bah123 (1), jmo185 (2), aza12 (1), ls949 (1)"
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 10:45:00,2016-09-30 13:15:00,2.50,2,"jmo185 (1), sn453 (2)"
evp14,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 11:30:00,2016-12-09 15:00:00,3.50,8,"ij38 (1), cws66 (2), evp14 (1), aza12 (1), ety6 (1), sn453 (1), ry137 (3), rp660 (3)"
adb185,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 11:30:00,2016-09-30 15:00:00,3.50,13,"ij38 (1), bah123 (1), evp14 (1), wowchoi (2), aza12 (1), da392 (1), rc864 (1), ks781 (4), ls949 (5), sn453 (1), adb185 (1), ry137 (2), ns812 (2)"
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 11:45:00,2016-12-09 15:15:00,3.50,11,"ij38 (1), cws66 (2), bcs109 (1), pm521 (2), am1505 (5), evp14 (1), aza12 (1), ety6 (1), sn453 (1), ry137 (3), rp660 (3)"
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 11:45:00,2016-09-30 15:15:00,3.50,18,"ij38 (1), lcn16 (3), cws66 (2), bcs109 (1), bah123 (1), am1505 (1), evp14 (1), wowchoi (2), aza12 (1), da392 (1), rc864 (1), trc86 (1), ks781 (4), ls949 (5), sn453 (1), adb185 (1), ry137 (1), ns812 (1)"
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 12:30:00,2016-09-30 15:30:00,3.00,8,"kak336 (1), cws66 (1), pm521 (1), bah123 (1), aza12 (1), knt35 (2), ls949 (5), tje42 (1)"
ry137,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 13:15:00,2016-09-30 16:30:00,3.25,4,"cws66 (3), sn453 (2), ry137 (1), tje42 (3)"
aas281,BUS-ARC-Disp,NB: Labs: Busch Campus,Friday,2016-09-30 13:15:00,2016-09-30 16:45:00,3.50,6,"pm521 (2), bah123 (1), aza12 (1), aas281 (1), ls949 (3), tje42 (2)"
wowchoi,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 14:00:00,2016-12-09 18:00:00,4.00,14,"cws66 (3), rbp64 (4), am1505 (1), wowchoi (1), alg163 (3), aas281 (1), knt35 (1), ny76 (1), cpr75 (1), nrs100 (1), trc86 (4), ks781 (4), sn453 (3), tje42 (3)"
trc86,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 15:00:00,2016-12-09 18:15:00,3.25,22,"cws66 (2), sm1574 (1), kt306 (4), rbp64 (1), am1505 (5), aza12 (1), alg163 (3), aas281 (1), ety6 (2), ny76 (1), cpr75 (1), nrs100 (1), trc86 (3), ks781 (5), ogb4 (3), mwa27 (1), sn453 (1), cjk171 (3), ry137 (4), tje42 (3), rp660 (4), cjp175 (3)"
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:00:00,2016-09-30 18:15:00,3.25,29,"lcn16 (1), cws66 (2), sm1574 (1), bah123 (1), kt306 (5), am1505 (1), evp14 (2), wowchoi (3), aza12 (1), da392 (1), alg163 (2), aas281 (2), aee51 (5), knt35 (2), ny76 (1), yk390 (1), cpr75 (1), nrs100 (1), trc86 (4), ks781 (5), mwa27 (4), ls949 (5), sn453 (1), adb185 (4), ry137 (2), tje42 (3), ns812 (1), cso29 (1), cjp175 (2)"
yk390,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:15:00,2016-09-30 18:30:00,3.25,30,"lcn16 (1), cws66 (2), sm1574 (1), bah123 (1), kt306 (5), am1505 (1), jmo185 (5), evp14 (2), wowchoi (3), aza12 (1), da392 (1), alg163 (2), aee51 (5), knt35 (2), ny76 (2), yk390 (1), cpr75 (1), nrs100 (1), trc86 (2), ks781 (5), mwa27 (1), ls949 (5), sn453 (1), cjk171 (3), adb185 (4), ry137 (1), tje42 (3), ns812 (1), cso29 (1), cjp175 (2)"
rp660,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 15:15:00,2016-12-09 18:30:00,3.25,23,"bnd21 (3), cws66 (2), sm1574 (1), pm521 (2), kt306 (4), rbp64 (1), am1505 (5), aza12 (1), alg163 (3), aas281 (2), sks183 (4), ety6 (2), ny76 (2), cpr75 (1), nrs100 (1), trc86 (3), ks781 (5), mwa27 (1), sn453 (1), ry137 (4), tje42 (3), rp660 (4), cjp175 (3)"
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:30:00,2016-09-30 17:45:00,2.25,10,"ak1024 (1), cws66 (1), bah123 (1), jmo185 (5), aza12 (1), alg163 (1), aas281 (1), knt35 (2), ls949 (5), tje42 (1)"
ak1024,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 16:30:00,2016-09-30 20:00:00,3.50,6,"ak1024 (1), cws66 (3), jmo185 (5), nrs100 (3), ry137 (1), tje42 (3)"
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 17:45:00,2016-09-30 22:00:00,4.25,19,"ak1024 (1), sm1574 (1), mi159 (5), kt306 (3), am1505 (1), aza12 (1), ss2468 (1), knt35 (3), dja145 (5), cpr75 (1), nrs100 (1), kad326 (1), ogb4 (4), mwa27 (1), ls949 (5), ry137 (2), tje42 (3), ns812 (3), cso29 (3)"
rbp64,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:00:00,2016-12-09 21:00:00,3.00,14,"ak1024 (1), sm1574 (1), rbp64 (3), am1505 (1), jmo185 (5), wowchoi (3), psc66 (1), knt35 (1), ny76 (1), cpr75 (1), nrs100 (1), kad326 (1), ogb4 (4), tje42 (3)"
cpr75,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 18:15:00,2016-09-30 22:00:00,3.75,19,"ak1024 (1), sm1574 (1), mi159 (5), kt306 (3), am1505 (1), aza12 (1), knt35 (3), ny76 (1), dja145 (4), cpr75 (1), nrs100 (1), kad326 (2), ec681 (2), mwa27 (1), ls949 (5), ry137 (2), tje42 (3), ns812 (3), cso29 (2)"
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:15:00,2016-12-09 22:00:00,3.75,17,"bnd21 (2), ak1024 (1), sm1574 (1), mi159 (5), kt306 (2), rbp64 (2), am1505 (5), jmo185 (5), aza12 (1), ny76 (1), cpr75 (3), nrs100 (1), kad326 (1), dfr49 (5), mwa27 (2), ry137 (3), tje42 (3)"
dja145,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 18:30:00,2016-09-30 22:00:00,3.50,20,"dhl45 (2), ak1024 (1), sm1574 (1), mi159 (5), kt306 (3), am1505 (1), aza12 (1), knt35 (3), ny76 (2), dja145 (3), cpr75 (1), nrs100 (1), kad326 (2), ec681 (1), mwa27 (1), ls949 (5), ry137 (3), tje42 (3), ns812 (3), cso29 (3)"
mwa27,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:30:00,2016-12-09 22:00:00,3.50,18,"bnd21 (1), ak1024 (1), sm1574 (1), mi159 (5), kt306 (2), rbp64 (2), am1505 (5), jmo185 (5), aza12 (1), sks183 (5), ny76 (2), cpr75 (3), nrs100 (1), kad326 (2), dfr49 (5), mwa27 (2), ry137 (2), tje42 (3)"
