Owner,Schedule,Location,Day of Week,Start,End
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00
evp14,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:45:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00
cjk171,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 10:45:00,2016-09-24 14:00:00
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 12:00:00,2016-12-10 15:00:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 12:00:00,2016-09-24 15:30:00
jc2004,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00
nrs100,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:00:00,2016-09-24 17:30:00
psc66,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 14:45:00,2016-09-24 18:00:00
wowchoi,BUS-LSM-Cons,NB: Labs: Busch Campus,Saturday,2016-12-10 15:00:00,2016-12-10 18:00:00
cjp175,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 15:30:00,2016-09-24 18:30:00
ak1024,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00
kt306,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 17:30:00,2016-09-24 22:00:00
ry137,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:30:00,2016-09-24 22:00:00
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00
ajh223,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00
ny76,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 12:00:00,2016-12-11 15:00:00
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 12:00:00,2016-09-25 15:30:00
cds167,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00
jy415,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 15:00:00,2016-12-11 18:00:00
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 15:30:00,2016-09-25 18:30:00
js1691,BUS-ARC-Disp,NB: Labs: Busch Campus,Sunday,2016-09-25 16:00:00,2016-09-25 19:45:00
cws66,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00
ogb4,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 18:00:00,2016-12-11 21:00:00
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:30:00,2016-09-25 22:30:00
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 21:00:00,2016-12-12 00:00:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00
kak336,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:30:00,2016-09-26 02:00:00
adb185,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00
rp660,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00
cws66,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:45:00
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:00:00
kak336,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 10:00:00,2016-12-12 14:00:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 12:30:00
jmo185,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 13:30:00
am1505,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:45:00,2016-09-26 13:15:00
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
mma206,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 12:30:00,2016-09-26 15:30:00
aom18,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 13:15:00,2016-09-26 16:30:00
tje42,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 13:30:00,2016-09-26 16:45:00
rbp64,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 14:00:00,2016-12-12 18:00:00
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00
hah70,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:30:00,2016-09-26 18:00:00
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 16:30:00,2016-09-26 20:00:00
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 16:45:00,2016-09-26 19:45:00
ks781,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 18:00:00,2016-12-12 21:00:00
bdh60,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:00:00,2016-09-26 20:30:00
sbc90,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00
nrs100,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 20:30:00,2016-09-26 23:00:00
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 21:00:00,2016-12-13 00:00:00
sn453,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00
sm1574,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 23:00:00,2016-09-27 02:00:00
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00
ib142,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00
nrs100,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:45:00
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:00:00
aee51,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 10:00:00,2016-12-13 14:00:00
pkp63,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 12:30:00
mma206,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 13:15:00
yl843,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:45:00,2016-09-27 13:15:00
yk390,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00
arh94,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00
ncc56,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 12:30:00,2016-09-27 15:30:00
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 15:45:00
ls949,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 16:45:00
dc816,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 14:00:00,2016-12-13 18:00:00
tmc202,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00
sa1110,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00
nd292,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00
ebb43,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:30:00,2016-09-27 18:00:00
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:45:00,2016-09-27 20:00:00
bcs109,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 16:45:00,2016-09-27 19:45:00
pt292,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:00:00,2016-09-27 20:30:00
ajh223,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 18:00:00,2016-12-13 21:00:00
cws66,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00
bnd21,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 20:30:00,2016-09-27 23:00:00
sm1574,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 21:00:00,2016-12-14 00:00:00
jb1339,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 21:45:00,2016-09-28 02:00:00
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 21:45:00,2016-09-28 02:00:00
mi159,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 22:15:00,2016-09-28 02:00:00
sks183,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 22:15:00,2016-09-28 02:00:00
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 23:00:00,2016-09-28 02:00:00
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:45:00
ogb4,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:45:00
mwa27,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:30:00
yl843,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:00:00,2016-09-28 11:30:00
aas281,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:15:00,2016-09-28 10:45:00
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 08:15:00,2016-09-28 10:00:00
ny76,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 10:00:00,2016-12-14 14:00:00
alg163,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:00:00,2016-09-28 13:15:00
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:00:00,2016-09-28 12:30:00
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 10:45:00,2016-09-28 13:15:00
yl843,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:30:00,2016-09-28 15:00:00
jy415,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:30:00,2016-09-28 15:00:00
ks781,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:45:00,2016-09-28 15:15:00
jc2004,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 11:45:00,2016-09-28 15:15:00
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 12:30:00,2016-09-28 15:30:00
aas281,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 13:15:00,2016-09-28 16:30:00
pm521,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 13:15:00,2016-09-28 16:45:00
cds167,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 14:00:00,2016-12-14 18:00:00
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:00:00,2016-09-28 18:15:00
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:00:00,2016-09-28 18:15:00
lhw33,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:15:00,2016-09-28 18:30:00
ks781,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:15:00,2016-09-28 18:30:00
hah70,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 15:30:00,2016-09-28 18:00:00
jb1339,BUS-RBHS-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 16:30:00,2016-09-28 20:00:00
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Wednesday,2016-09-28 16:45:00,2016-09-28 19:45:00
kad326,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:00:00,2016-12-14 21:00:00
pt292,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:00:00,2016-09-28 20:30:00
sks183,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:15:00,2016-12-14 21:45:00
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:15:00,2016-09-28 21:45:00
bdh60,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 18:30:00,2016-12-14 22:15:00
dhl45,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 18:30:00,2016-09-28 22:15:00
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 20:30:00,2016-09-28 23:00:00
jb1339,BUS-LSM-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 21:00:00,2016-12-15 00:00:00
sm1574,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 21:45:00,2016-09-29 02:00:00
tje42,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 21:45:00,2016-12-15 02:00:00
jvw31,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 22:15:00,2016-09-29 02:00:00
js1691,BUS-BEST-Cons,NB: Labs: Busch Campus,Wednesday,2016-12-14 22:15:00,2016-12-15 02:00:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Wednesday,2016-09-28 23:00:00,2016-09-29 02:00:00
ns812,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 08:00:00,2016-12-08 11:30:00
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:00:00,2016-09-29 11:30:00
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:00:00,2016-09-29 11:45:00
kt306,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 08:00:00,2016-12-08 11:45:00
jmo185,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:15:00,2016-09-29 10:45:00
wowchoi,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 08:15:00,2016-09-29 10:00:00
ncc56,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 10:00:00,2016-12-08 14:00:00
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 10:00:00,2016-09-29 12:30:00
mi159,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 10:00:00,2016-09-29 13:15:00
jmo185,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 10:45:00,2016-09-29 13:15:00
pkp63,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 11:30:00,2016-09-29 15:00:00
cds167,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 11:30:00,2016-12-08 15:00:00
aee51,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 11:45:00,2016-09-29 15:15:00
arh94,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 11:45:00,2016-12-08 15:15:00
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 12:30:00,2016-09-29 15:30:00
psc66,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 13:15:00,2016-09-29 16:45:00
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 13:15:00,2016-09-29 15:45:00
dc816,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 14:00:00,2016-12-08 18:00:00
sa1110,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:00:00,2016-09-29 18:15:00
nd292,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 15:00:00,2016-12-08 18:15:00
lhw33,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 15:15:00,2016-12-08 18:30:00
ebb43,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:15:00,2016-09-29 18:30:00
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:30:00,2016-09-29 18:00:00
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 15:45:00,2016-09-29 20:00:00
cws66,BUS-ARC-Disp,NB: Labs: Busch Campus,Thursday,2016-09-29 16:45:00,2016-09-29 19:45:00
ajh223,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:00:00,2016-12-08 21:00:00
ls949,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:00:00,2016-09-29 20:30:00
tmc202,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:15:00,2016-12-08 21:45:00
psc66,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:15:00,2016-09-29 21:45:00
cjk171,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 18:30:00,2016-12-08 22:15:00
dhl45,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 18:30:00,2016-09-29 22:15:00
trc86,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 20:30:00,2016-09-29 23:00:00
cpr75,BUS-LSM-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 21:00:00,2016-12-09 00:00:00
ry137,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 21:45:00,2016-09-30 02:00:00
cjp175,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 21:45:00,2016-12-09 02:00:00
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Thursday,2016-12-08 22:15:00,2016-12-09 02:00:00
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 22:15:00,2016-09-30 02:00:00
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Thursday,2016-09-29 23:00:00,2016-09-30 02:00:00
yl843,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 08:00:00,2016-12-09 11:45:00
aas281,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:00:00,2016-09-30 11:30:00
bah123,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 08:00:00,2016-12-09 11:30:00
dja145,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:00:00,2016-09-30 11:45:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:15:00,2016-09-30 10:00:00
nrs100,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 08:15:00,2016-09-30 10:45:00
ib142,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 10:00:00,2016-12-09 14:00:00
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 10:00:00,2016-09-30 12:30:00
aza12,BUS-ARC-Disp,NB: Labs: Busch Campus,Friday,2016-09-30 10:00:00,2016-09-30 13:15:00
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 10:45:00,2016-09-30 13:15:00
evp14,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 11:30:00,2016-12-09 15:00:00
adb185,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 11:30:00,2016-09-30 15:00:00
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 11:45:00,2016-12-09 15:15:00
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 11:45:00,2016-09-30 15:15:00
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 12:30:00,2016-09-30 15:30:00
ry137,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 13:15:00,2016-09-30 16:30:00
aas281,BUS-ARC-Disp,NB: Labs: Busch Campus,Friday,2016-09-30 13:15:00,2016-09-30 16:45:00
wowchoi,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 14:00:00,2016-12-09 18:00:00
trc86,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 15:00:00,2016-12-09 18:15:00
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:00:00,2016-09-30 18:15:00
yk390,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:15:00,2016-09-30 18:30:00
rp660,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 15:15:00,2016-12-09 18:30:00
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 15:30:00,2016-09-30 17:45:00
ak1024,BUS-RBHS-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 16:30:00,2016-09-30 20:00:00
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 17:45:00,2016-09-30 22:00:00
rbp64,BUS-LSM-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:00:00,2016-12-09 21:00:00
cpr75,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 18:15:00,2016-09-30 22:00:00
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:15:00,2016-12-09 22:00:00
dja145,BUS-ARC-Cons,NB: Labs: Busch Campus,Friday,2016-09-30 18:30:00,2016-09-30 22:00:00
mwa27,BUS-BEST-Cons,NB: Labs: Busch Campus,Friday,2016-12-09 18:30:00,2016-12-09 22:00:00
